pas_lineametro,pas_periodo,pas_valor
METRO_LINEA_B,201808,2363588
METRO_LINEA_1_BUSES,201808,2215879
METRO_CUENCA_3,201808,663026
METRO_LINEA_H,201808,63135
METRO_CUENCA_7_INTEGRADOS,201808,444232
METRO_LINEA_L,201808,100586
METRO_LINEA_2_BUSES,201808,351291
METRO_CUENCA_6,201808,1250636
METRO_CUENCA_5_INTEGRADOS,201808,466078
METRO_CUENCA_3,201708,650271
METRO_LINEA_K,201708,648320
METRO_LINEA_A,201708,15590911
METRO_TRANVIA,201708,662777
METRO_LINEA_1_BUSES,201708,2169768
METRO_CUENCA_5_INTEGRADOS,201708,426122
METRO_LINEA_J,201708,441147
METRO_CUENCA_6,201708,1107986
METRO_LINEA_2_BUSES,201708,339521
METRO_LINEA_L,201708,92092
METRO_CUENCA_7_INTEGRADOS,201708,408586
METRO_LINEA_B,201708,2822260
METRO_LINEA_H,201708,60882
METRO_CUENCA_9_INTEGRADOS,201708,127627
METRO_CUENCA_3,201608,598073
METRO_LINEA_J,201608,424344
METRO_LINEA_A,201608,15599692
METRO_LINEA_B,201608,2734621
METRO_LINEA_1_BUSES,201608,2102085
METRO_CUENCA_6,201608,1111041
METRO_TRANVIA,201608,480355
METRO_LINEA_K,201608,649181
METRO_CUENCA_7_INTEGRADOS,201608,393626
METRO_LINEA_L,201608,90077
METRO_CUENCA_5_INTEGRADOS,201608,0
METRO_LINEA_H,201608,0
METRO_LINEA_2_BUSES,201608,347482
METRO_LINEA_J,201508,427918
METRO_CUENCA_3,201508,537028
METRO_LINEA_2_BUSES,201508,336823
METRO_LINEA_B,201508,2558939
METRO_LINEA_K,201508,627058
METRO_CUENCA_6,201508,971531
METRO_LINEA_1_BUSES,201508,1952879
METRO_LINEA_A,201508,14873141
METRO_LINEA_L,201508,98380
METRO_CUENCA_3,201408,478733
METRO_LINEA_B,201408,2367297
METRO_LINEA_A,201408,13656347
METRO_LINEA_J,201408,370080
METRO_LINEA_K,201408,605479
METRO_LINEA_L,201408,88000
METRO_LINEA_1_BUSES,201408,1859471
METRO_CUENCA_6,201408,861998
METRO_LINEA_2_BUSES,201408,361626
METRO_LINEA_L,201308,79313
METRO_LINEA_A,201308,13271147
METRO_LINEA_J,201308,343323
METRO_LINEA_K,201308,577013
METRO_LINEA_2_BUSES,201308,143478
METRO_CUENCA_3,201308,0
METRO_CUENCA_6,201308,0
METRO_LINEA_B,201308,2290711
METRO_LINEA_1_BUSES,201308,1427775
METRO_LINEA_K,201208,555756
METRO_LINEA_B,201208,2148709
METRO_LINEA_L,201208,83643
METRO_LINEA_J,201208,286231
METRO_LINEA_1_BUSES,201208,952793
METRO_LINEA_A,201208,12155283
METRO_LINEA_L,201108,82733
METRO_LINEA_J,201108,260463
METRO_LINEA_B,201108,2159626
METRO_LINEA_1_BUSES,201108,0
METRO_LINEA_K,201108,552040
METRO_LINEA_A,201108,12327129
METRO_LINEA_1_BUSES,202007,666520
METRO_CUENCA_5_INTEGRADOS,202007,105899
METRO_CUENCA_7_INTEGRADOS,202007,141060
METRO_CUENCA_9_INTEGRADOS,202007,39287
METRO_CUENCA_6,202007,600152
METRO_TRANVIA,202007,249811
METRO_CUENCA_3,202007,273053
METRO_LINEA_H,202007,24970
METRO_LINEA_B,202007,596913
METRO_LINEA_L,202007,13
METRO_LINEA_A,202007,4025082
METRO_LINEA_J,202007,152077
METRO_LINEA_2_BUSES,202007,127221
METRO_LINEA_K,202007,218720
METRO_LINEA_B,201907,2268596
METRO_LINEA_A,201907,14007725
METRO_LINEA_J,201907,433409
METRO_CUENCA_7_INTEGRADOS,201907,478758
METRO_CUENCA_5_INTEGRADOS,201907,499542
METRO_CUENCA_3,201907,703539
METRO_LINEA_L,201907,97641
METRO_LINEA_2_BUSES,201907,343117
METRO_LINEA_1_BUSES,201907,2105136
METRO_TRANVIA,201907,846734
METRO_LINEA_H,201907,67202
METRO_LINEA_K,201907,681326
METRO_CUENCA_9_INTEGRADOS,201907,149476
METRO_CUENCA_6,201907,1330303
METRO_TRANVIA,201807,712798
METRO_LINEA_J,201807,335819
METRO_CUENCA_5_INTEGRADOS,201807,410755
METRO_LINEA_A,201807,13995720
METRO_LINEA_L,201807,82376
METRO_CUENCA_7_INTEGRADOS,201807,403355
METRO_LINEA_2_BUSES,201807,328116
METRO_LINEA_1_BUSES,201807,2001024
METRO_LINEA_H,201807,51194
